ID	SEX	BIRTH	DOD	REMOVE DATE	DAM	SIRE	BEHAVIORAL MOM	CS STATUS	GROUP AT BIRTH	CS BIRTH SEASON	Comments
5Q3	m	12/08/2013			2J5	37N	2J5	IN CS	R	2014	
4Q0	f	20/08/2013		02/12/2014	6B4	36V	6B4	Remove	HH	2014	
5R8	m	20/08/2013		02/12/2014	2E8	36V	2E8	Remove	HH	2014	
1R6	m	31/08/2013		03/12/2014	0B9	36V	0B9	Remove	HH	2014	
2S8	f	25/08/2013			39Z	30V	39Z	IN CS	HH	2014	
2Q5	f	29/09/2013		02/12/2014	03Z	30V	03Z	Remove	HH	2014	
8R7	f	10/09/2013			5E8	2F9	5E8	IN CS	V	2014	
3R6	m	28/08/2013	28/10/2014		44V	2D0	44V	Dead	KK	2014	
2Q0	f	19/08/2013			8H7	2C9	8H7	IN CS	HH	2014	
8Q0	m	19/08/2013			0I7	2C6	0I7	IN CS	S	2014	
7Q7	f	25/11/2013	23/01/2015		3B8	2C6	3B8	Dead	S	2014	
1S8	m	17/08/2013			2C3	27N	2C3	IN CS	KK	2014	
3Q9	m	02/09/2013			76J	27N	76J	IN CS	KK	2014	
2S5	m	01/07/2013		03/12/2014	3A2	27J	3A2	Remove	KK	2014	
3Q4	f	27/08/2013			8A3	25L	8A3	IN CS	R	2014	
3Q2	f	11/09/2013			2G8	25L	2G8	IN CS	R	2014	
8Q5	m	29/09/2013			6J4	1F0	6J4	IN CS	S	2014	
3R2	f	01/08/2013			2F0	1D5	2F0	IN CS	R	2014	
2R7	f	23/08/2013			26V	1D5	26V	IN CS	R	2014	
4Q9	m	16/09/2013			3J3	1D5	3J3	IN CS	R	2014	
8R6	m	21/08/2013			85T	1D4	85T	IN CS	V	2014	
9R5	m	04/09/2013			4C5	1D4	4C5	IN CS	V	2014	
3R5	f	20/09/2013		02/12/2014	2C7	1B7	2C7	Remove	HH	2014	
5Q1	m	17/08/2013			4A0	1A6	4A0	IN CS	R	2014	
6R8	f	27/08/2013			14Z	1A6	14Z	IN CS	R	2014	
2R6	m	23/10/2013			3B1	1A6	3B1	IN CS	R	2014	
0S3	m	13/08/2013		02/12/2014	53Z	1A0	53Z	Remove	V	2014	
9R6	m	26/08/2013			2G4	1A0	2G4	IN CS	V	2014	
9R2	f	07/09/2013	22/02/2016		47Z	1A0	47Z	Dead	V	2014	
0S6	f	15/09/2013			9E8	1A0	9E8	IN CS	V	2014	
0S1	f	20/09/2013			3D9	1A0	3D9	IN CS	V	2014	
9R8	f	25/09/2013			81E	1A0	81E	IN CS	V	2014	
9R7	m	09/10/2013			1B0	1A0	1B0	IN CS	V	2014	
3R4	f	27/07/2013		20/10/2015	22H	19T	22H	Remove	HH	2014	
4Q6	f	05/08/2013			7E3	19T	7E3	IN CS	HH	2014	
1R2	m	25/08/2013			2C0	19T	2C0	IN CS	HH	2014	
1S3	m	25/08/2013			8J9	18Z	8J9	IN CS	F	2014	
9R3	m	13/09/2013			1G1	18I	1G1	IN CS	V	2014	
5Q2	f	19/08/2013	22/10/2014		4D8	16R	4D8	Dead	KK	2014	
2R9	f	09/10/2013			6C2	16R	6C2	IN CS	KK	2014	
2R4	m	10/09/2013			20S	13I	20S	IN CS	HH	2014	
0S7	m	01/10/2013			32S	12Z	32S	IN CS	F	2014	
9R9	f	01/09/2013		03/11/2015	78I	12O	78I	Remove	V	2014	
5Q6	f	13/08/2013			15O	11Z	15O	IN CS	R	2014	
4R1	f	10/09/2013			97R	11Z	97R	IN CS	S	2014	
2Q3	f	11/10/2013		04/12/2014	55J	11Z	55J	Remove	KK	2014	
7Q4	f	22/10/2013			1B4	11Z	1B4	IN CS	S	2014	
2R3	m	30/10/2013			36D	11Z	36D	IN CS	S	2014	
5R3	f	03/11/2013			9C7	11Z	9C7	IN CS	S	2014	
7Q9	m	27/09/2013			2B1	10R	2B1	IN CS	S	2014	
I144F5	m	23/08/2013	24/03/2014		4F5	0E8	4F5	Dead	R	2014	
4Q7	f	19/09/2013			76L	0E8	76L	IN CS	R	2014	
I1457T	m	16/10/2013	30/09/2014		57T	0E8	57T	Dead	S	2014	
9Q9	f	16/08/2013			8H1	0E3	8H1	IN CS	MM	2014	
8Q3	f	27/08/2013			82V	0C9	82V	IN CS	S	2014	
4R3	m	16/08/2013			74T	0C7	74T	IN CS	KK	2014	
9Q3	f	03/07/2013		12/12/2014	28G	0B8	28G	Remove	MM	2014	
5R7	f	16/08/2013		09/12/2014	82L	0B8	82L	Remove	F	2014	
6Q8	f	21/08/2013		09/12/2015	6C0	0B8	6C0	Remove	F	2014	
1S9	f	06/09/2013			50I	0B8	50I	IN CS	F	2014	
7R6	m	04/10/2013			44J	0B8	44J	IN CS	F	2014	
9Q4	m	21/10/2013			64D	0B8	64D	IN CS	F	2014	
6Q7	m	25/10/2013		04/12/2014	82A	0B8	82A	Remove	F	2014	
1R4	f	21/07/2013		02/12/2014	36O	07D	36O	Remove	HH	2014	
3S0	f	11/07/2013			2H3	04Z	2H3	IN CS	F	2014	
7R5	f	25/07/2013		10/11/2015	9H7	04I	9H7	Remove	F	2014	
0R5	m	06/09/2013			60P	04I	60P	IN CS	F	2014	
6R1	m	19/08/2013			43F	7B2	43F	IN CS	F	2014	
1R9	m	18/08/2013			4H1	02R	4H1	IN CS	R	2014	
I143J4	f	07/09/2013	10/03/2014		3J4	02R	3J4	Dead	S	2014	
4Q3	f	22/09/2013			96A	02R	96A	IN CS	R	2014	
6Q2	f	17/08/2013			43J	7B2	43J	IN CS	F	2014	
2S2	f	20/08/2013			91V	01K	91V	IN CS	R	2014	
7R2	f	19/09/2013		10/12/2014	33V	01K	33V	Remove	R	2014	
I141E7	m	18/07/2013	06/08/2013				1E7	Dead	R	2014	
I147F9	f	18/07/2013	23/10/2013				7F9	Dead	R	2014	
I1478T-B	f	21/07/2013	22/07/2013				78T	Dead	OO	2014	
I144F1	m	28/07/2013	14/10/2013				4F1	Dead	KK	2014	
I146C3	f	29/07/2013	30/09/2014				6C3	Dead	MM	2014	
I141G2	f	31/07/2013	23/07/2014				1G2	Dead	V	2014	
I1492D	f	03/08/2013	30/09/2014				92D	Dead	F	2014	
I140B5	m	08/08/2013	08/08/2013				0B5	Stillbirth	R	2014	
I142I3	f	09/08/2013	09/10/2013				2I3	Dead	V	2014	
I149G3	m	09/08/2013	30/09/2014				9G3	Dead	F	2014	
I1403Z	u	13/08/2013	21/08/2013				03Z	Dead	HH	2014	
I1474S	f	13/08/2013	13/09/2013				74S	Dead	F	2014	
I1462R	m	14/08/2013	14/08/2013				62R	Dead	KK	2014	
I144C1	f	15/08/2013	23/09/2013				4C1	Dead	F	2014	
I149D8	m	18/08/2013	30/09/2014				9D8	Dead	F	2014	
I146D4	m	19/08/2013	20/11/2013				6D4	Dead	KK	2014	
I147D8	f	21/08/2013	01/11/2013				7D8	Dead	F	2014	
I141K1	f	21/08/2013	30/09/2014				1K1	Dead	V	2014	
I148J0	f	21/08/2013	30/09/2014				8J0	Dead	MM	2014	
I148J8	u	23/08/2013	24/08/2013				8J8	Dead	F	2014	
I143C3	f	24/08/2013	30/09/2014				3C3	Dead	F	2014	
I1483Z	f	29/08/2013	30/09/2014				83Z	Dead	KK	2014	
I1445Z	m	01/09/2013	20/02/2014				45Z	Dead	V	2014	
I1486Z	f	07/09/2013	10/10/2013				86Z	Dead	KK	2014	
I148C7	m	07/09/2013	14/11/2013				8C7	Dead	R	2014	
I149I6	f	07/09/2013	30/09/2014				9I6	Dead	F	2014	
I1493T	f	08/09/2013	10/09/2013				93T	Dead	V	2014	
I141G0	f	08/09/2013	14/05/2014				1G0	Dead	V	2014	
I148H8	f	09/09/2013	08/11/2013				8H8	Dead	F	2014	
I140G3	m	09/09/2013	07/04/2014				0G3	Dead	HH	2014	
I148B0	f	09/09/2013	30/09/2014				8B0	Dead	F	2014	
I147F0	m	15/09/2013	20/11/2013				7F0	Dead	KK	2014	
I1401R	m	16/09/2013	01/10/2013				01R	Dead	V	2014	
I1421H	f	23/09/2013	04/10/2013				21H	Dead	KK	2014	
I149J5	u	24/09/2013	26/09/2013				9J5	Dead	R	2014	
I142B4	f	24/09/2013	30/09/2014				2B4	Dead	S	2014	
I140F6	f	29/09/2013	30/09/2014				0F6	Dead	R	2014	
I146A3	m	02/10/2013	30/09/2014				6A3	Dead	R	2014	
I1431L	f	03/10/2013	30/09/2014				31L	Dead	V	2014	
I141C5	m	07/10/2013	07/10/2013				1C5	Dead	KK	2014	
I1421N	m	11/10/2013	30/09/2014				21N	Dead	HH	2014	
I141F4	m	16/10/2013	30/09/2014				1F4	Dead	R	2014	
I1453E	f	03/11/2013	05/11/2013				53E	Dead	KK	2014	
I1417C	f	24/11/2013	29/11/2013				17C	Dead	F	2014	
I133H0	f	22/09/2012	25/10/2012		3H0	X80	3H0	Dead	V	2013	
9P9	f	03/09/2012	29/08/2014		3F6	X58	3F6	Dead	R	2013	
7P7	f	11/09/2012		06/02/2014	64P	9D1	64P	Remove	F	2013	
6P3	m	14/09/2012			03J	9D1	03J	IN CS	F	2013	
3P1	m	01/10/2012		12/02/2014	80S	9A9	80S	Remove	HH	2013	
I13V72	m	12/09/2012	13/09/2012		V72	9A2	V72	Dead	HH	2013	
5P3	m	24/10/2012		22/10/2014	70T	99V	70T	Remove	S	2013	
4O6	m	05/09/2012			13H	98K	13H	IN CS	V	2013	
3O4	f	05/08/2012		22/10/2015	49V	97Z	49V	Remove	KK	2013	
8O3	f	23/08/2012		06/11/2015	3F5	97Z	3F5	Remove	KK	2013	
5P5	f	11/09/2012		01/12/2015	60R	97Z	60R	Remove	KK	2013	
1O7	f	08/10/2012			21H	97Z	21H	IN CS	KK	2013	
0O5	f	17/09/2012		14/02/2014	45Z	97V	45Z	Remove	V	2013	
9P2	f	23/09/2012		13/02/2014	30J	97V	30J	Remove	V	2013	
I137C4	f	24/09/2012	25/09/2012		7C4	97V	7C4	Dead	V	2013	
4O9	f	01/10/2012		30/01/2014	98J	97V	98J	Remove	V	2013	
8P9	f	08/09/2012			59A	96B	59A	IN CS	F	2013	
3O2	f	21/08/2012			3H4	94Z	3H4	IN CS	R	2013	
2P2	m	25/08/2012		24/10/2014	33V	94Z	33V	Remove	R	2013	
7P3	f	27/08/2012			6B0	94Z	6B0	IN CS	R	2013	
1O8	m	29/08/2012	05/12/2013		60V	94Z	60V	Dead	R	2013	
8O5	m	05/09/2012			76L	94Z	76L	IN CS	R	2013	
0P2	f	11/09/2012			77V	94Z	77V	IN CS	R	2013	
2O9	f	13/09/2012	05/12/2013		96A	94Z	96A	Dead	R	2013	
3O0	f	24/09/2012			77D	94Z	77D	IN CS	R	2013	
8P0	f	13/09/2012		22/10/2014	55V	94H	55V	Remove	F	2013	
7O5	m	09/09/2012		12/02/2014	85T	91P	85T	Remove	V	2013	
I131G2	f	01/10/2012	02/10/2012		1G2	8D3	1G2	Dead	V	2013	
9P3	f	12/10/2012			2G2	8D3	2G2	IN CS	V	2013	
5O8	m	21/08/2012		28/01/2014	9A4	8C9	9A4	Remove	OO	2013	
9O8	m	02/09/2012			3B1	8C0	3B1	IN CS	R	2013	
6O2	f	13/09/2012			62V	8C0	62V	IN CS	F	2013	
9P4	m	12/09/2012		23/01/2014	2C0	8B5	2C0	Remove	HH	2013	
5P8	m	07/09/2012			2C8	8A9	2C8	IN CS	R	2013	
5O3	m	31/08/2012		11/02/2014	4C2	8A7	4C2	Remove	F	2013	
6O4	f	08/10/2012		07/11/2014	63V	8A7	63V	Remove	F	2013	
0O2	f	11/10/2012		28/01/2014	79Z	8A7	79Z	Remove	F	2013	
5P2	m	13/06/2012			3D1	88V	3D1	IN CS	S	2013	
7O1	m	16/08/2012			38Z	88V	38Z	IN CS	S	2013	
6O9	f	06/09/2012			2B4	88V	2B4	IN CS	S	2013	
0P7	m	25/09/2012			36D	88V	36D	IN CS	S	2013	
4P8	m	03/10/2012			74K	88V	74K	IN CS	S	2013	
9O4	f	05/08/2012			3F4	84E	3F4	IN CS	R	2013	
0Q1	m	22/10/2012		13/02/2014	48V	80B	48V	Remove	HH	2013	
3P8	f	19/08/2012		17/11/2015	8E8	7D7	8E8	Remove	F	2013	
2P4	f	13/08/2012		11/02/2014	1E0	7B3	1E0	Remove	MM	2013	
1Q6	f	02/09/2012		31/10/2014	2C7	7B3	2C7	Remove	HH	2013	
2O0	m	27/09/2012			1C7	7B3	1C7	IN CS	KK	2013	
1P2	m	11/09/2012			55J	7A2	55J	IN CS	KK	2013	
0Q8	f	21/09/2012		30/10/2014	8E2	76Z	8E2	Remove	HH	2013	
0Q3	f	24/09/2012		12/02/2014	73C	76Z	73C	Remove	HH	2013	
9P5	f	06/08/2012			6B4	73Z	6B4	IN CS	HH	2013	
3P7	f	15/08/2012			62S	73Z	62S	IN CS	HH	2013	
5O1	m	03/09/2012		14/02/2014	53Z	73V	53Z	Remove	V	2013	
9P1	f	18/09/2012		07/02/2014	78I	73V	78I	Remove	V	2013	
2P7	f	07/08/2012			88N	72T	88N	IN CS	S	2013	
1O2	m	09/08/2012		22/10/2014	1C5	72T	1C5	Remove	KK	2013	
4P5	f	29/08/2012		27/10/2015	9C7	72T	9C7	Remove	S	2013	
1P3	m	05/09/2012			82Z	72T	82Z	IN CS	S	2013	
6O8	m	14/09/2012	09/01/2014		2D4	72T	2D4	Dead	S	2013	
2P8	m	29/09/2012			7A9	72T	7A9	IN CS	S	2013	
9O6	f	21/10/2012		21/10/2015	4H3	72T	4H3	Remove	S	2013	
2P5	m	04/09/2012			1E6	6C9	1E6	IN CS	R	2013	
8P7	m	15/09/2012			3A7	6C9	3A7	IN CS	R	2013	
3P5	m	05/10/2012			3F7	6B8	3F7	IN CS	KK	2013	
3P9	m	04/09/2012			74S	6B2	74S	IN CS	F	2013	
4P6	f	08/10/2012			44V	6A9	44V	IN CS	KK	2013	
5O5	m	01/09/2012			61J	6A8	61J	IN CS	F	2013	
0O8	m	06/09/2012		28/01/2014	9D8	6A8	9D8	Remove	F	2013	
5O4	f	11/09/2012		14/02/2014	2A8	6A8	2A8	Remove	F	2013	
8P8	f	24/09/2012			5C0	6A8	5C0	IN CS	F	2013	
0P1	m	02/10/2012		22/01/2014	53E	6A1	53E	Remove	KK	2013	
3O7	m	23/09/2012			0B6	69I	0B6	IN CS	KK	2013	
1O5	m	02/10/2012		23/10/2014	51V	69I	51V	Remove	KK	2013	
I136C3	f	09/09/2012	10/09/2012		6C3	67Z	6C3	Dead	OO	2013	
5P7	f	14/09/2012		28/10/2015	0C6	67Z	0C6	Remove	F	2013	
I1329Z	m	15/09/2012	19/09/2012		29Z	67Z	29Z	Dead	OO	2013	
0O6	m	30/09/2012			82A	67Z	82A	IN CS	F	2013	
7P1	f	01/10/2012			9D4	67Z	9D4	IN CS	F	2013	
9P8	f	02/10/2012		06/02/2014	2E9	64S	2E9	Remove	HH	2013	
0Q2	m	09/10/2012		21/10/2014	94S	64S	94S	Remove	HH	2013	
1Q5	f	30/08/2012		04/12/2015	9C1	61R	9C1	Remove	V	2013	
7O9	f	02/09/2012		12/02/2014	81E	61R	81E	Remove	V	2013	
5O2	m	07/09/2012		24/01/2014	00V	61R	00V	Remove	V	2013	
1O0	m	21/09/2012		07/02/2014	2E4	61R	2E4	Remove	V	2013	
5O0	f	21/09/2012			31L	61R	31L	IN CS	V	2013	
8O0	m	15/10/2012		23/10/2014	13B	61R	13B	Remove	V	2013	
I137D8	f	29/08/2012	14/12/2012		7D8	60T	7D8	Dead	F	2013	
5O7	m	10/09/2012		13/02/2014	0G5	60T	0G5	Remove	F	2013	
2P9	m	13/10/2012			42L	60T	42L	IN CS	F	2013	
1P9	f	03/09/2012		06/11/2015	4H0	60E	4H0	Remove	R	2013	
9O3	f	05/08/2012		21/10/2015	7F7	5B2	7F7	Remove	R	2013	
3O1	f	17/08/2012		30/10/2014	0B5	5B2	0B5	Remove	R	2013	
3O8	m	08/09/2012		30/10/2014	0A2	5B2	0A2	Remove	R	2013	
3O5	f	01/10/2012	16/12/2013		5C4	5B2	5C4	Dead	R	2013	
1P6	f	02/10/2012		10/11/2015	4E0	5B2	4E0	Remove	R	2013	
2P0	f	21/10/2012			4D5	5B2	4D5	IN CS	R	2013	
8O6	m	27/10/2012			91A	5B2	91A	IN CS	R	2013	
I13Z82	m	10/05/2012	10/09/2012		Z82	53N	Z82	Dead	S	2013	
I13V78	f	08/10/2012	29/10/2012		V78	53N	V78	Dead	KK	2013	
5P4	m	26/11/2012			9C5	53N	9C5	IN CS	KK	2013	
0O4	m	12/09/2012			9E8	4C3	9E8	IN CS	V	2013	
4O3	m	01/10/2012		30/01/2014	5E8	4C3	5E8	Remove	V	2013	
4O8	m	09/10/2012		11/02/2014	3D9	4C3	3D9	Remove	V	2013	
4O4	f	04/11/2012			1G1	4C3	1G1	IN CS	V	2013	
0O9	m	08/09/2012			98T	49Z	98T	IN CS	F	2013	
6O1	f	21/09/2012			50S	49Z	50S	IN CS	F	2013	
0O1	m	07/10/2012			29B	49Z	29B	IN CS	F	2013	
1Q2	f	08/10/2012		21/10/2014	2A7	49Z	2A7	Remove	F	2013	
1O4	f	05/08/2012		07/11/2014	0G2	48L	0G2	Remove	R	2013	
5P0	f	03/09/2012		21/10/2015	5A1	48L	5A1	Remove	S	2013	
0P5	f	29/09/2012		27/10/2015	97R	48L	97R	Remove	S	2013	
1O3	m	02/09/2012	05/12/2013		91V	46N	91V	Dead	R	2013	
8O7	m	26/08/2012	10/12/2013		51T	44T	51T	Dead	R	2013	
5P9	m	06/09/2012		03/11/2014	8A5	44T	8A5	Remove	R	2013	
3P3	m	14/09/2012			7A8	44T	7A8	IN CS	R	2013	
6O7	f	27/10/2012			25P	44T	25P	IN CS	KK	2013	
9O5	m	06/11/2012			95V	44T	95V	IN CS	R	2013	
2O3	m	25/11/2012		23/10/2014	28I	44T	28I	Remove	R	2013	
4P3	f	17/06/2012			1B4	43V	1B4	IN CS	S	2013	
5P1	f	08/08/2012			5H6	43V	5H6	IN CS	S	2013	
4O1	m	18/08/2012		07/11/2014	62R	43V	62R	Remove	KK	2013	
6O6	m	03/09/2012			3B8	43V	3B8	IN CS	S	2013	
5O6	m	13/09/2012		22/10/2014	34N	43P	34N	Remove	F	2013	
6P2	m	04/11/2012			57H	43P	57H	IN CS	F	2013	
0Q5	f	29/12/2012			2C4	43P	2C4	IN CS	KK	2013	
I137E3	m	19/08/2012	12/10/2012		7E3	43N	7E3	Dead	HH	2013	
7P2	m	07/09/2012		06/02/2014	77S	43N	77S	Remove	HH	2013	
0Q4	m	01/10/2012		21/10/2014	55R	43N	55R	Remove	HH	2013	
8O8	m	08/10/2012		23/01/2014	20S	43N	20S	Remove	HH	2013	
0Q9	m	12/11/2012		21/10/2014	21N	43N	21N	Remove	HH	2013	
7O2	m	12/09/2012		12/02/2014	2E1	42T	2E1	Remove	MM	2013	
6P5	m	23/09/2012			35N	41N	35N	IN CS	OO	2013	
6O3	m	09/10/2012			68V	41N	68V	IN CS	OO	2013	
1Q1	f	15/10/2012		13/11/2014	87K	41N	87K	Remove	F	2013	
3O6	m	07/09/2012			48N	3E9	48N	IN CS	R	2013	
2P3	f	17/09/2012		05/11/2015	4B2	3E9	4B2	Remove	R	2013	
9P0	f	06/09/2012	27/03/2014		7F2	3E1	7F2	Dead	R	2013	
0P9	m	25/08/2012			54N	3A6	54N	IN CS	R	2013	
7P0	m	03/09/2012			37P	3A6	37P	IN CS	R	2013	
7P4	f	07/09/2012		27/10/2015	26V	3A6	26V	Remove	R	2013	
0P0	m	10/09/2012			6A4	3A6	6A4	IN CS	R	2013	
2P1	m	25/09/2012		21/10/2014	87F	3A6	87F	Remove	R	2013	
7P6	m	27/10/2012		12/02/2014	03Z	3A6	03Z	Remove	HH	2013	
6O5	m	25/08/2012			0I7	39L	0I7	IN CS	S	2013	
9O2	m	03/10/2012		22/10/2014	7F0	36T	7F0	Remove	KK	2013	
2O5	m	08/09/2012	05/12/2013		2C3	36S	2C3	Dead	KK	2013	
4P9	f	04/10/2012			4A9	36S	4A9	IN CS	S	2013	
8O2	f	26/08/2012		14/02/2014	6C5	35V	6C5	Remove	MM	2013	
8P4	f	08/09/2012		03/11/2014	4C1	35V	4C1	Remove	F	2013	
3P0	m	10/09/2012		23/01/2014	0A9	35V	0A9	Remove	F	2013	
2P6	m	21/10/2012		24/01/2014	60P	35V	60P	Remove	F	2013	
7P5	m	10/02/2013		23/01/2014	16S	34P	16S	Remove	HH	2013	
7O0	f	12/09/2012		12/02/2014	90P	33T	90P	Remove	MM	2013	
3O9	m	28/09/2012			6D8	31S	6D8	IN CS	R	2013	
I13X83	m	27/08/2012	29/08/2012		X83	30Z	X83	Dead	R	2013	
0P3	f	29/08/2012			85V	30Z	85V	IN CS	R	2013	
0P6	m	15/09/2012			4A5	30Z	4A5	IN CS	R	2013	
0Q7	f	14/09/2012		14/02/2014	3A9	30V	3A9	Remove	HH	2013	
3P4	m	26/09/2012			65Z	30V	65Z	IN CS	HH	2013	
1P7	m	02/10/2012			2B1	30L	2B1	IN CS	S	2013	
9P6	m	16/09/2012			7E0	2F8	7E0	IN CS	HH	2013	
6P9	m	24/08/2012			6F2	2D7	6F2	IN CS	F	2013	
8O1	m	15/09/2012		11/02/2014	81I	2D7	81I	Remove	S	2013	
1Q8	m	19/08/2012			0B9	2C9	0B9	IN CS	HH	2013	
1Q3	f	27/09/2012		13/11/2014	39Z	2C9	39Z	Remove	HH	2013	
3P2	m	10/10/2012			2E8	2C9	2E8	IN CS	HH	2013	
5P6	f	11/10/2012			5B6	2C9	5B6	IN CS	HH	2013	
9O9	m	24/08/2012			5A0	2C6	5A0	IN CS	S	2013	
0Q6	f	30/09/2012		12/11/2015	7G6	2C6	7G6	Remove	S	2013	
4P2	f	13/08/2012		28/01/2014	3E2	29V	3E2	Remove	F	2013	
9O7	f	12/09/2012		12/11/2015	76J	27N	76J	Remove	KK	2013	
8O9	f	14/08/2012			4D8	27J	4D8	IN CS	KK	2013	
1O9	f	05/10/2012			83Z	27J	83Z	IN CS	KK	2013	
2O7	f	31/05/2012			6D4	26P	6D4	IN CS	KK	2013	
5O9	f	17/09/2012		22/10/2014	64D	25R	64D	Remove	F	2013	
8P1	m	19/09/2012		21/10/2014	82L	25R	82L	Remove	F	2013	
1O1	m	04/10/2012		21/10/2014	40L	25R	40L	Remove	F	2013	
0O0	m	09/10/2012		24/01/2014	50I	25R	50I	Remove	F	2013	
2O8	f	08/09/2012		03/11/2015	8A3	25L	8A3	Remove	R	2013	
6P0	m	04/08/2012			4H1	22O	4H1	IN CS	R	2013	
I131E7	f	03/09/2012	06/09/2012		1E7	22O	1E7	Dead	R	2013	
8P6	m	15/09/2012			16Z	1E5	16Z	IN CS	R	2013	
1Q7	f	02/10/2012			1G4	1D4	1G4	IN CS	V	2013	
7O4	m	07/09/2012			5C6	1C6	5C6	IN CS	V	2013	
1Q4	f	09/09/2012		14/02/2014	90T	1C6	90T	Remove	V	2013	
4O5	m	09/10/2012			4C5	1C6	4C5	IN CS	V	2013	
7O8	m	01/12/2012		23/10/2014	51Z	1C6	51Z	Remove	V	2013	
1P8	m	13/08/2012		12/02/2014	0C8	1C2	0C8	Remove	MM	2013	
4P0	m	18/09/2012		11/02/2014	34Z	1C2	34Z	Remove	MM	2013	
7P9	f	22/09/2012			52P	1B1	52P	IN CS	NN	2013	
2O4	m	26/06/2012			2F2	1A6	2F2	IN CS	KK	2013	
8O4	m	30/07/2012		28/10/2014	1F4	1A6	1F4	Remove	R	2013	
2O1	m	03/09/2012			09Z	1A6	09Z	IN CS	R	2013	
6P6	f	17/09/2012	11/03/2015		14Z	1A6	14Z	Dead	R	2013	
1O6	f	14/10/2012			07L	1A6	07L	IN CS	R	2013	
4O2	m	09/09/2012		31/10/2014	52Z	1A0	52Z	Remove	V	2013	
4O7	m	24/09/2012		30/01/2014	47Z	1A0	47Z	Remove	V	2013	
0O3	f	16/10/2012		14/02/2014	1B0	1A0	1B0	Remove	V	2013	
9O0	m	21/10/2012			81B	19T	81B	IN CS	HH	2013	
8P5	m	13/09/2012		30/01/2014	4C9	18I	4C9	Remove	V	2013	
7O6	f	19/09/2012		02/12/2015	0F0	17T	0F0	Remove	V	2013	
2O6	f	03/10/2012		23/10/2014	0F6	17K	0F6	Remove	R	2013	
1P4	f	13/08/2012			1E2	16R	1E2	IN CS	KK	2013	
0Q0	f	08/09/2012		30/10/2014	86Z	16R	86Z	Remove	KK	2013	
3O3	m	18/09/2012			93O	16R	93O	IN CS	KK	2013	
7O3	f	09/10/2012			24V	16R	24V	IN CS	KK	2013	
0P4	f	27/10/2012		23/10/2014	6C2	16R	6C2	Remove	KK	2013	
1P5	m	21/08/2012			74T	12Z	74T	IN CS	KK	2013	
6O0	f	28/09/2012			73B	12Z	73B	IN CS	F	2013	
6P8	m	13/10/2012			1A3	12Z	1A3	IN CS	F	2013	
8P2	f	17/10/2012		07/11/2014	0A4	12Z	0A4	Remove	F	2013	
7O7	m	15/10/2012		31/10/2014	15E	12E	15E	Remove	V	2013	
3P6	m	13/09/2012			7A6	11Z	7A6	IN CS	R	2013	
6P1	f	25/09/2012			89K	11Z	89K	IN CS	R	2013	
9P7	f	08/10/2012			93I	11Z	93I	IN CS	R	2013	
2O2	m	29/10/2012			10C	11Z	10C	IN CS	R	2013	
4O0	f	07/12/2012		06/11/2015	31V	11Z	31V	Remove	R	2013	
4P7	f	14/09/2012		20/10/2015	37V	0C7	37V	Remove	KK	2013	
0O7	m	06/09/2012		31/10/2014	44J	0B8	44J	Remove	F	2013	
7P8	m	08/09/2012		18/11/2014	8B0	0B8	8B0	Remove	F	2013	
8P3	f	22/09/2012			6C0	0B8	6C0	IN CS	F	2013	
4P4	f	06/11/2012			2D1	07D	2D1	IN CS	S	2013	
6P4	f	03/10/2012		01/12/2015	0I5	04Z	0I5	Remove	F	2013	
6P7	f	11/10/2012		07/11/2014	7H8	04Z	7H8	Remove	F	2013	
1Q0	m	18/09/2012			43F	25R	43F	IN CS	F	2013	
1P0	f	09/10/2012			5H4	03N	5H4	IN CS	KK	2013	
4P1	m	23/09/2012			43J	35V	43J	IN CS	F	2013	
9O1	f	03/09/2012		27/10/2015	7C8	02R	7C8	Remove	R	2013	
0P8	m	13/09/2012			4F5	02R	4F5	IN CS	R	2013	
1P1	m	30/09/2012		22/10/2014	5F7	02R	5F7	Remove	R	2013	
I133E7	f	05/07/2012	27/08/2012				3E7	Dead	OO	2013	
I133A4	m	26/07/2012	23/02/2013				3A4	Dead	HH	2013	
I138C7	m	13/08/2012	01/11/2013				8C7	Dead	R	2013	
I1393T	u	18/08/2012	27/08/2012				93T	Dead	V	2013	
I1357T	m	18/08/2012	23/04/2013				57T	Dead	S	2013	
I134A0	f	21/08/2012	04/10/2012				4A0	Dead	R	2013	
I134H7	f	22/08/2012	04/10/2012				4H7	Dead	S	2013	
I130G3	f	27/08/2012	31/08/2012				0G3	Dead	HH	2013	
I1315O	m	30/08/2012	15/09/2012				15O	Dead	R	2013	
I133D4	f	01/09/2012	29/06/2013				3D4	Dead	S	2013	
I13X91	f	02/09/2012	17/09/2012				X91	Dead	R	2013	
I130E2	f	03/09/2012	27/09/2012				0E2	Dead	R	2013	
I1399J	u	09/09/2012	09/09/2012				99J	Stillbirth	V	2013	
I133F8	m	10/09/2012	25/10/2012				3F8	Dead	R	2013	
I1390D	m	14/09/2012	24/09/2012				90D	Dead	F	2013	
I1382V	f	18/09/2012	19/01/2013				82V	Dead	S	2013	
I1340V	u	19/09/2012	19/09/2012				40V	Stillbirth	R	2013	
I1336O	f	26/09/2012	01/11/2012				36O	Dead	HH	2013	
I136A3	f	02/10/2012	07/10/2012				6A3	Dead	R	2013	
I1314E	f	02/10/2012	25/10/2012				14E	Dead	V	2013	
