ID	SEX	BIRTH	DOD	REMOVE DATE	DAM	SIRE	BEHAVIORAL MOM	CS STATUS	GROUP AT BIRTH	CS BIRTH SEASON	Comments
I174J3	m	18/07/2016					4J3	IN CS	HH	2017	
I175M1	f	18/07/2016					5M1	IN CS	R	2017	
I170E1	m	19/07/2016					0E1	IN CS	R	2017	
I173F4	m	19/07/2016					3F4	IN CS	R	2017	
I174I4	m	19/07/2016					4I4	IN CS	R	2017	
I1764P	f	19/07/2016					64P	IN CS	F	2017	
I178A5	m	19/07/2016					8A5	IN CS	R	2017	
I179M4	f	19/07/2016					9M4	IN CS	F	2017	
I171L5	m	20/07/2016					1L5	IN CS	F	2017	
I171L7	m	20/07/2016					1L7	IN CS	R	2017	
I1729Z	m	20/07/2016					29Z	IN CS	F	2017	
I178F3	m	20/07/2016					8F3	IN CS	F	2017	
I178L3	f	20/07/2016					8L3	IN CS	KK	2017	
I170G3	m	21/07/2016					0G3	IN CS	F	2017	
I173G3	f	21/07/2016					3G3	IN CS	KK	2017	
I174F1	m	21/07/2016					4F1	IN CS	KK	2017	
I174F8	m	21/07/2016					4F8	IN CS	R	2017	
I1762S	m	21/07/2016					62S	IN CS	HH	2017	
I1777V	m	21/07/2016					77V	IN CS	R	2017	
I177C4	f	21/07/2016					7C4	IN CS	V	2017	
I177D8	m	21/07/2016					7D8	IN CS	F	2017	
I177F0	m	21/07/2016					7F0	IN CS	KK	2017	
I172C3	f	22/07/2016					2C3	IN CS	KK	2017	
I173N4	m	22/07/2016					3N4	IN CS	HH	2017	
I175C0	f	22/07/2016					5C0	IN CS	F	2017	
I1768V	f	22/07/2016					68V	IN CS	F	2017	
I176M7	m	22/07/2016					6M7	IN CS	KK	2017	
I1782L	f	22/07/2016					82L	IN CS	F	2017	
I1790P	f	22/07/2016					90P	IN CS	F	2017	
I174D8	m	23/07/2016					4D8	IN CS	KK	2017	
I176K7	u	24/07/2016	27/07/2016				6K7	Dead	R	2017	
I1742L	f	24/07/2016	29/08/2016				42L	Dead	MM	2017	
I170F6	f	24/07/2016					0F6	IN CS	R	2017	
I171M0	m	24/07/2016					1M0	IN CS	R	2017	
I171M4	f	24/07/2016					1M4	IN CS	R	2017	
I172D4	m	24/07/2016					2D4	IN CS	S	2017	
I1737P	f	24/07/2016					37P	IN CS	R	2017	
I175K9	f	24/07/2016					5K9	IN CS	MM	2017	
I1793T	m	25/07/2016	29/07/2016				93T	Dead	V	2017	
I170I6	f	25/07/2016					0I6	IN CS	F	2017	
I172E1	m	25/07/2016					2E1	IN CS	MM	2017	
I172G8	m	25/07/2016					2G8	IN CS	R	2017	
